On day 1, price is $11.73
On day 2, price is $11.16
On day 3, price is $14.92
On day 4, price is $14.78
On day 5, price is $19.11
On day 6, price is $25.81
On day 7, price is $25.61
On day 8, price is $25.26
On day 9, price is $28.83
On day 10, price is $33.22
On day 11, price is $31.77
On day 12, price is $35.60
On day 13, price is $41.21
On day 14, price is $39.60
On day 15, price is $38.38
On day 16, price is $50.14
On day 17, price is $50.24
On day 18, price is $48.89
On day 19, price is $47.48
On day 20, price is $63.07
On day 21, price is $61.24
On day 22, price is $69.26
On day 23, price is $72.47
On day 24, price is $71.23
On day 25, price is $73.10
On day 26, price is $88.80
On day 27, price is $85.11
On day 28, price is $94.38
On day 29, price is $110.72
